term,slug,cluster,status,priority,keywords
What is Task Decomposition,what-is-task-decomposition,ai-agents,pending,2,"task decomposition, sub-task, breakdown, hierarchical planning, divide and conquer"
What is Tree of Thoughts,what-is-tree-of-thoughts,ai-agents,pending,2,"tree of thoughts, ToT, reasoning tree, multiple paths, exploration"
What is Tome AI,what-is-tome-ai,ai-tools,pending,2,"Tome, AI storytelling, presentation AI, narrative AI, Tome AI"
What is Taskade AI,what-is-taskade-ai,ai-tools,pending,2,"Taskade, AI task management, project AI, collaboration, task AI"
What is Tabnine AI,what-is-tabnine-ai,ai-tools,pending,2,"Tabnine, AI code completion, private code, coding assistant, Tabnine AI"
What is Text Blaze,what-is-text-blaze,ai-tools,pending,2,"Text Blaze, text expander, snippet, template, productivity"
What is TensorRT,what-is-tensorrt,ai-infrastructure,pending,2,"TensorRT, NVIDIA, inference optimization, model deployment, GPU inference"
What is Together AI,what-is-together-ai,ai-infrastructure,pending,2,"Together AI, cloud inference, open models, AI compute, model API"
What is Trustworthy AI,what-is-trustworthy-ai,ai-safety,pending,2,"trustworthy AI, trusted AI, reliable AI, dependable AI, confidence"
What is Toxic Content Detection,what-is-toxic-content-detection,ai-safety,pending,2,"toxic content, toxicity detection, harmful content, hate speech, content safety"
What is Text-to-Speech,what-is-text-to-speech,ai-voice,pending,2,"text-to-speech, TTS, speech synthesis, voice generation, AI voice"
What is Text-to-Image,what-is-text-to-image,ai-multimodal,pending,2,"text-to-image, text image, prompt to image, image generation, text2image"
What is Text-to-Video,what-is-text-to-video,ai-multimodal,pending,2,"text-to-video, text video, prompt to video, video generation, text2video"
What is Text-to-3D,what-is-text-to-3d,ai-multimodal,pending,2,"text-to-3D, text 3D, prompt 3D, 3D generation, text2mesh"
What is Training Data Quality,what-is-training-data-quality,ai-data,pending,2,"training data quality, data quality, clean data, good data, reliable data"
What is Test-Time Compute,what-is-test-time-compute,llms,pending,1,"test-time compute, inference, reasoning, compute scaling, LLM"
What is Thinking Token,what-is-thinking-token,llms,pending,2,"thinking token, reasoning token, LLM, inference, thinking"
What is Topic Guardrails,what-is-topic-guardrails,ai-safety,pending,2,"topic guardrails, content boundary, scope limitation, moderation"
What is Turn Structure,what-is-turn-structure,prompt-engineering,pending,2,"turn structure, conversation flow, prompt sequence, dialogue management, interaction pattern"
What is Token Budget,what-is-token-budget,prompt-engineering,pending,2,"token budget, token limit, token allocation, context window, cost management"
What is Temperature Tuning,what-is-temperature-tuning,prompt-engineering,pending,2,"temperature tuning, creativity control, randomness setting, output variation, llm temperature"
What is Top-K,what-is-top-k,prompt-engineering,pending,2,"top-k, token selection, sampling method, probability filter, nucleus sampling alternative"
What is Top-P,what-is-top-p,prompt-engineering,pending,2,"top-p, nucleus sampling, probability threshold, token selection, sampling parameter"
What is Tesla Optimus,what-is-tesla-optimus,ai-robotics,pending,1,"tesla optimus, tesla bot, humanoid robot, general purpose robot, autonomous robot"
What is Task and Motion Planning,what-is-task-and-motion-planning,ai-robotics,pending,2,"task and motion planning, tamp, hierarchical planning, symbolic planning, geometric planning"
What is Token Routing,what-is-token-routing,llms,pending,2,"token routing, token to expert mapping, input routing, token assignment, dynamic routing"
What is Ternary Model,what-is-ternary-model,llms,pending,2,"ternary model, ternary weight, -1 0 1 weights, three value weight, extreme quantization"
What is Token Prediction,what-is-token-prediction,llms,pending,2,"token prediction, next token prediction, language modeling task, autoregressive prediction, sequential token prediction"
What is Tensor Parallelism,what-is-tensor-parallelism,ai-infrastructure,pending,2,"Tensor Parallelism, Tensor Slicing, Model Parallelism Technique"
What is Training Recovery,what-is-training-recovery,ai-infrastructure,pending,2,"Training Recovery, Fault Recovery, Training Resume"
What is Training Dashboard,what-is-training-dashboard,ai-infrastructure,pending,2,"Training Dashboard, Training Monitor, Experiment Tracking"
What is Training Job,what-is-training-job,ai-infrastructure,pending,2,"Training Job, Training Task, Job Submission"
What is Training Workflow,what-is-training-workflow,ai-infrastructure,pending,2,"Training Workflow, Training Pipeline, ML Workflow"
What is Training Orchestrator,what-is-training-orchestrator,ai-infrastructure,pending,2,"Training Orchestrator, Orchestration Tool, Job Scheduler"
What is TFRecord,what-is-tfrecord,ai-infrastructure,pending,2,"TFRecord, TensorFlow Record, Binary Data Format"
What is TaskGen,what-is-taskgen,ai-tools,pending,2,"TaskGen, Task Generation, AI Task"
What is Tavily AI,what-is-tavily-ai,ai-tools,pending,2,"Tavily AI, AI Search, Web Search API"
