term,slug,cluster,status,priority,keywords
What is Mean Squared Error,what-is-mean-squared-error,ai-basics,pending,2,"mean squared error, MSE, loss function, prediction error, regression metric"
What is Mean Absolute Error,what-is-mean-absolute-error,ai-basics,pending,2,"mean absolute error, MAE, absolute error, regression metric, prediction deviation"
What is Metaheuristic,what-is-metaheuristic,ai-basics,pending,2,"metaheuristic, optimization algorithm, search method, approximate optimization, nature-inspired"
What is Masked LM,what-is-masked-lm,llms,pending,2,"masked LM, MLM, masked language model, BERT training, cloze task"
What is MoE,what-is-moe,llms,pending,2,"mixture of experts, MoE, sparse model, expert routing, efficient LLM"
What is Mixture of Experts,what-is-mixture-of-experts,llms,pending,2,"mixture of experts, MoE, expert network, routing, sparse activation"
What is Max Tokens,what-is-max-tokens,llms,pending,2,"max tokens, maximum output, token limit, generation length, response length"
What is MCP Server,what-is-mcp-server,ai-agents,pending,2,"MCP, model context protocol, agent protocol, tool protocol, AI communication"
What is MCP Client,what-is-mcp-client,ai-agents,pending,2,"MCP client, model context protocol client, agent client, tool client, AI connector"
What is MCP Tool,what-is-mcp-tool,ai-agents,pending,2,"MCP tool, model context protocol tool, agent tool, tool primitive, MCP primitive"
What is MCP Transport,what-is-mcp-transport,ai-agents,pending,2,"MCP transport, protocol transport, stdio transport, HTTP transport, agent communication"
What is MCP Primitive,what-is-mcp-primitive,ai-agents,pending,2,"MCP primitive, tool resource prompt, agent primitive, protocol element, building block"
What is MCP Resource,what-is-mcp-resource,ai-agents,pending,2,"MCP resource, agent resource, data resource, knowledge source, retrievable data"
What is Multi-Turn Prompt,what-is-multi-turn-prompt,prompt-engineering,pending,2,"multi-turn, conversation, dialogue, multi-step, chat history"
What is Multi-Modal Prompt,what-is-multi-modal-prompt,prompt-engineering,pending,2,"multimodal prompt, image text prompt, mixed input, visual prompt, audio prompt"
What is Make AI,what-is-make-ai,ai-tools,pending,2,"Make, Integromat, AI automation, workflow builder, visual automation"
What is Murf AI,what-is-murf-ai,ai-tools,pending,2,"Murf, AI voice, text to speech, voiceover, AI voice generator"
What is Motion AI,what-is-motion-ai,ai-tools,pending,2,"Motion, AI calendar, productivity, scheduling, task AI"
What is Mem AI,what-is-mem-ai,ai-tools,pending,2,"Mem, AI notes, knowledge management, note-taking, AI memory"
What is Magical AI,what-is-magical-ai,ai-tools,pending,2,"Magical, text expander, AI assistant, form filler, productivity tool"
What is Milvus,what-is-milvus,ai-infrastructure,pending,2,"Milvus, vector database, scalable vector, similarity search, Milvus DB"
What is Modal AI,what-is-modal-ai,ai-infrastructure,pending,2,"Modal, cloud compute, GPU cloud, serverless AI, AI infrastructure"
What is MLflow,what-is-mlflow,ai-infrastructure,pending,2,"MLflow, ML lifecycle, experiment tracking, model registry, ML platform"
What is Model Registry,what-is-model-registry,ai-infrastructure,pending,2,"model registry, model management, versioning, model catalog, ML governance"
What is Model Monitoring,what-is-model-monitoring,ai-infrastructure,pending,2,"model monitoring, ML monitoring, performance tracking, observability, alert"
What is Model Inversion Attack,what-is-model-inversion-attack,ai-safety,pending,2,"model inversion, privacy attack, data reconstruction, model extraction, privacy leak"
What is Membership Inference,what-is-membership-inference,ai-safety,pending,2,"membership inference, privacy attack, training detection, data leak, MIA"
What is Model Card,what-is-model-card,ai-safety,pending,2,"model card, model documentation, AI documentation, transparency, model info"
What is Multimodal Learning,what-is-multimodal-learning,ai-multimodal,pending,2,"multimodal learning, multi-modal, multiple modalities, combined learning, cross-modal"
What is Motion Planning,what-is-motion-planning,ai-robotics,pending,2,"motion planning, path planning, robot motion, trajectory, movement AI"
What is MMLU Benchmark,what-is-mmlu-benchmark,ai-research,pending,2,"MMLU, benchmark, knowledge test, multi-task, AI evaluation"
What is MATH Benchmark,what-is-math-benchmark,ai-research,pending,2,"MATH benchmark, math evaluation, mathematics, problem solving, AI math"
What is Meta-Learning in AI,what-is-meta-learning-in-ai,ai-research,pending,2,"meta-learning, learn to learn, learning algorithm, fast adaptation, model agnostic"
What is Missing Data,what-is-missing-data,ai-data,pending,2,"missing data, null values, incomplete data, missing values, data gap"
"What is Mastra","what-is-mastra","ai-agents","pending","2","Mastra, agent framework, TypeScript agent, AI agent framework, agent development"
"What is Molmo","what-is-molmo","ai-multimodal","pending","2","Molmo, open multimodal model, vision AI, open-source vision, AI2 model"
"What is Multimodal Embedding","what-is-multimodal-embedding","ai-multimodal","pending","2","multimodal embedding, cross-modal embedding, joint embedding, vision-language embedding, unified embedding"
"What is Multimodal RAG","what-is-multimodal-rag","ai-multimodal","pending","2","multimodal RAG, vision RAG, image retrieval, hybrid search, multimodal knowledge"
"What is Monte Carlo Tree Search in LLM","what-is-monte-carlo-tree-search-in-llm","llms","pending","2","MCTS, Monte Carlo, tree search, reasoning, LLM"
"What is Ministral","what-is-ministral","llms","pending","2","Ministral, Mistral, SLM, small model, efficient"
"What is Mobile AI","what-is-mobile-ai","llms","pending","2","mobile AI, on-device, smartphone, edge, inference"
"What is Model Compression","what-is-model-compression","llms","pending","2","model compression, quantization, pruning, distillation, SLM"
"What is MusicGen","what-is-musicgen","ai-voice","pending","2","MusicGen, Meta, music generation, AI, audio"
"What is Microsoft 365 Copilot","what-is-microsoft-365-copilot","ai-tools","pending","1","Microsoft 365, Copilot, Office, AI, productivity"
"What is Modal","what-is-modal","ai-infrastructure","pending","2","Modal, serverless, cloud, GPU, compute"
"What is MCP Gateway","what-is-mcp-gateway","ai-infrastructure","pending","2","MCP, gateway, protocol, AI, tool"
"What is MCP Hub","what-is-mcp-hub","ai-infrastructure","pending","2","MCP, hub, protocol, registry, tool"
"What is MCP Protocol","what-is-mcp-protocol","ai-infrastructure","pending","1","MCP, Model Context Protocol, Anthropic, standard, tool"
"What is Model Lifecycle Management","what-is-model-lifecycle-management","ai-infrastructure","pending","2","model lifecycle, ML, management, versioning, deployment"
"What is Model Rollback","what-is-model-rollback","ai-infrastructure","pending","2","model rollback, ML, deployment, revert, version"
"What is Model Monitoring Dashboard","what-is-model-monitoring-dashboard","ai-infrastructure","pending","2","model monitoring, dashboard, ML, observability, metrics"
"What is Multi-Hop Retrieval","what-is-multi-hop-retrieval","ai-infrastructure","pending","2","multi-hop retrieval, multi-step reasoning, information retrieval, ai"
"What is Model Evaluation Benchmark","what-is-model-evaluation-benchmark","ai-safety","pending","2","benchmark, model evaluation, performance metric, capability test"
"What is Mechanistic Interpretability","what-is-mechanistic-interpretability","ai-safety","pending","2","mechanistic interpretability, circuit analysis, neuron analysis, reverse engineering"
"What is ML Pipeline","what-is-ml-pipeline","ai-data","pending","2","ml pipeline, machine learning pipeline, workflow, automation"
"What is Missing Data Imputation","what-is-missing-data-imputation","ai-data","pending","2","missing data, imputation, null values, data completion"
"What is Meta Prompt","what-is-meta-prompt","prompt-engineering","pending","2","meta prompt, prompt about prompts, self-referential prompt, prompt generation, prompt engineering"
"What is Multi-Turn","what-is-multi-turn","prompt-engineering","pending","2","multi-turn, conversation turns, dialogue turns, chat history, context turns"
"What is Markdown Prompting","what-is-markdown-prompting","prompt-engineering","pending","2","markdown prompting, markdown format, structured prompt, heading structure, list-based prompt"
"What is Markdown Format","what-is-markdown-format","prompt-engineering","pending","2","markdown format, md formatting, prompt structure, text formatting, document structure"
"What is Mobile Manipulator","what-is-mobile-manipulator","ai-robotics","pending","2","mobile manipulator, mobile robot arm, moving robot, loco-manipulation, wheeled arm"
"What is Medical Imaging AI","what-is-medical-imaging-ai","ai-healthcare","pending","2","medical imaging ai, radiology ai, medical image analysis, scan analysis, imaging diagnostics"
"What is Medical Chatbot","what-is-medical-chatbot","ai-healthcare","pending","2","medical chatbot, healthcare chatbot, symptom checker, health assistant, medical ai assistant"
"What is Medical Note AI","what-is-medical-note-ai","ai-healthcare","pending","2","medical note ai, clinical documentation, note generation, medical scribe, documentation ai"
"What is Multi-Query Attention","what-is-multi-query-attention","llms","pending","2","multi-query attention, MQA, shared key-value attention, efficient multi-head attention, fast attention variant"
"What is MoE Architecture","what-is-moe-architecture","llms","pending","2","MoE architecture, mixture of experts design, expert model architecture, sparse architecture, multi-expert system"
"What is Mistral Model","what-is-mistral-model","llms","pending","2","Mistral model, Mistral AI, Mistral large language model, Mistral series, Mistral foundation model"
"What is Mixtral 8x22B","what-is-mixtral-8x22b","llms","pending","2","Mixtral 8x22B, Mistral MoE model, Mixtral sparse model, Mixtral large expert model, Mixtral 176B"
"What is Ministral 8B","what-is-ministral-8b","llms","pending","2","Ministral 8B, Mistral small model, Ministral edge model, Ministral compact, Ministral efficient"
"What is Math-LLM","what-is-math-llm","llms","pending","2","Math-LLM, mathematics LLM, math reasoning model, mathematical AI, calculation model"
"What is MIT Model","what-is-mit-model","llms","pending","2","MIT model, MIT license model, permissively licensed model, MIT licensed AI, open model MIT"
"What is Model Weight","what-is-model-weight","llms","pending","2","model weight, neural network weight, model parameter, trained weight, model checkpoint file"
"What is Model Sparsity","what-is-model-sparsity","llms","pending","2","model sparsity, sparse weights, sparse network, sparsity technique, zero weight proportion"
"What is Multi-Node Training","what-is-multi-node-training","ai-infrastructure","pending","2","Multi-Node Training, Distributed Training, Multi-GPU Training"
"What is Model Parallelism","what-is-model-parallelism","ai-infrastructure","pending","2","Model Parallelism, Model Sharding, Distributed Model"
"What is Mixed Precision Training","what-is-mixed-precision-training","ai-infrastructure","pending","2","Mixed Precision Training, FP16 Training, Precision Training"
"What is Memory Bandwidth","what-is-memory-bandwidth","ai-infrastructure","pending","2","Memory Bandwidth, Bandwidth, Memory Throughput"
"What is Mosaic Streaming","what-is-mosaic-streaming","ai-infrastructure","pending","2","Mosaic Streaming, Streaming Data, Mosaic Dataset"
"What is MCP Prompt Template","what-is-mcp-prompt-template","ai-tools","pending","2","MCP Prompt, Prompt Template, Prompt Resource"
"What is MCP HTTP","what-is-mcp-http","ai-tools","pending","2","MCP HTTP, HTTP Transport, REST Transport"
"What is MCP Streamable HTTP","what-is-mcp-streamable-http","ai-tools","pending","2","MCP Streamable HTTP, Streaming HTTP, SSE Transport"
"What is MCP STDIO","what-is-mcp-stdio","ai-tools","pending","2","MCP STDIO, Standard Input Output, Process Transport"
"What is MCP Inspector","what-is-mcp-inspector","ai-tools","pending","2","MCP Inspector, Debug Tool, MCP Debugging"
"What is MCP Configuration","what-is-mcp-configuration","ai-tools","pending","2","MCP Configuration, Config File, MCP Settings"
"What is MCP Settings","what-is-mcp-settings","ai-tools","pending","2","MCP Settings, Configuration, Environment Setup"
"What is MCP SDK","what-is-mcp-sdk","ai-tools","pending","2","MCP SDK, Software Development Kit, MCP Library"
"What is MCP TypeScript","what-is-mcp-typescript","ai-tools","pending","2","MCP TypeScript, TypeScript SDK, TS Implementation"
"What is MCP Python","what-is-mcp-python","ai-tools","pending","2","MCP Python, Python SDK, Python Implementation"
"What is MCP Java","what-is-mcp-java","ai-tools","pending","2","MCP Java, Java SDK, Java Implementation"
"What is MCP Server Registry","what-is-mcp-server-registry","ai-tools","pending","2","MCP Registry, Server Registry, Tool Registry"
"What is MCP Discovery","what-is-mcp-discovery","ai-tools","pending","2","MCP Discovery, Server Discovery, Service Discovery"
"What is MCP Versioning","what-is-mcp-versioning","ai-tools","pending","2","MCP Versioning, Protocol Version, API Version"
"What is MCP Rate Limit","what-is-mcp-rate-limit","ai-tools","pending","2","MCP Rate Limit, Rate Limiting, Request Throttling"
"What is MCP Authentication","what-is-mcp-authentication","ai-tools","pending","2","MCP Auth, Authentication, Access Control"
"What is MCP Authorization","what-is-mcp-authorization","ai-tools","pending","2","MCP Authorization, AuthZ, Permission Control"
"What is MCP Audit","what-is-mcp-audit","ai-tools","pending","2","MCP Audit, Audit Logging, Activity Tracking"
"What is MCP Logging","what-is-mcp-logging","ai-tools","pending","2","MCP Logging, Log Management, Debug Logging"
"What is MCP Error Handling","what-is-mcp-error-handling","ai-tools","pending","2","MCP Error Handling, Error Management, Exception Handling"
"What is MCP Agent Integration","what-is-mcp-agent-integration","ai-tools","pending","2","MCP Agent, Agent Integration, AI Agent MCP"
"What is Mirascope","what-is-mirascope","ai-tools","pending","2","Mirascope, AI Wrapper, LLM Framework"
"What is Monto","what-is-monto","ai-tools","pending","2","Monto, AI Tool, AI Agent Platform"
